timestamp,EVENT_TYPE,source_ip,dest_ip,port,protocol
2026-08-25 10:00:00,FIREWALL_DROP,10.0.0.150,192.168.1.1,22,TCP
2026-08-25 10:01:00,FIREWALL_DROP,10.0.0.150,192.168.1.1,80,TCP
2026-08-25 10:02:00,FIREWALL_DROP,10.0.0.150,192.168.1.1,443,TCP
2026-08-25 10:03:00,FIREWALL_DROP,10.0.0.150,192.168.1.1,445,TCP
2026-08-25 10:04:00,FIREWALL_DROP,10.0.0.150,192.168.1.1,3389,TCP
2026-08-25 10:10:00,FIREWALL_DROP,10.0.0.170,192.168.1.1,22,TCP
2026-08-25 10:11:00,FIREWALL_DROP,10.0.0.170,192.168.1.1,22,TCP
2026-08-25 10:12:00,FIREWALL_DROP,10.0.0.170,192.168.1.1,22,TCP
2026-08-25 10:13:00,FIREWALL_DROP,10.0.0.170,192.168.1.1,22,TCP
2026-08-25 10:14:00,FIREWALL_DROP,10.0.0.170,192.168.1.1,22,TCP
